image_id,level,taxon,species_count,major_clade,dominant_order,representative_genus,prompt_group,composition_archetype,key_traits,habitat,lighting,palette,mood,confidence,review_status,review_notes,draft_prompt
family-cracidae,family,Cracidae,28,Saurischia,Galliformes,"Ortalis, Penelope, Crax",ground_bird,"ground-bird card: full-body 3/4 walking stance with body mass, legs, and plumage silhouette cleanly readable","ground-dwelling bird body, feathered wings, sturdy legs, compact tail, family-appropriate crest or facial features where suitable","open undergrowth, scrub, or woodland floor with simple layered plants",bright natural daylight,"earth brown, cream, muted chestnut, charcoal, and soft green","alert, terrestrial, and approachable",high,draft_ready,,"Create a square illustrated dinosaur family card for Cracidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using ground-bird card: full-body 3/4 walking stance with body mass, legs, and plumage silhouette cleanly readable. Emphasize the defining anatomy: ground-dwelling bird body, feathered wings, sturdy legs, compact tail, family-appropriate crest or facial features where suitable. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open undergrowth, scrub, or woodland floor with simple layered plants. Lighting: bright natural daylight. Color direction: earth brown, cream, muted chestnut, charcoal, and soft green. Mood: alert, terrestrial, and approachable. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-deinocheiridae,family,Deinocheiridae,5,Saurischia,,"Deinocheirus, Garudimimus, Harpymimus",deinocheirid_giant,large-beaked oddball card: full-body 3/4 stance with huge forelimbs and unusual silhouette emphasized,"deep-bodied build, long forelimbs, large claws, beaked head, humped or tall-backed silhouette, long legs","wet floodplain with reeds, shallow water, and open space around the torso shape",soft warm daylight,"muddy tan, olive, slate gray, cream, and reed green","imposing, strange, and memorable",high,draft_ready,,"Create a square illustrated dinosaur family card for Deinocheiridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using large-beaked oddball card: full-body 3/4 stance with huge forelimbs and unusual silhouette emphasized. Emphasize the defining anatomy: deep-bodied build, long forelimbs, large claws, beaked head, humped or tall-backed silhouette, long legs. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: wet floodplain with reeds, shallow water, and open space around the torso shape. Lighting: soft warm daylight. Color direction: muddy tan, olive, slate gray, cream, and reed green. Mood: imposing, strange, and memorable. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-dicraeosauridae,family,Dicraeosauridae,12,Saurischia,,"Dicraeosaurus, Amargasaurus, Amargatitanis",sauropod_whiptail,slender sauropod card: full-body side or 3/4 stance with long tail and neck sweeping elegantly through the frame,"long neck, elongated whip-like tail or slender tail, lighter sauropod torso, small head, columnar limbs","open floodplain with fern beds, scattered conifers, and distant hills",warm daylight with atmospheric distance,"slate gray, muted brown, moss green, pale sand, and sky blue","graceful, expansive, and stately",high,draft_ready,,"Create a square illustrated dinosaur family card for Dicraeosauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using slender sauropod card: full-body side or 3/4 stance with long tail and neck sweeping elegantly through the frame. Emphasize the defining anatomy: long neck, elongated whip-like tail or slender tail, lighter sauropod torso, small head, columnar limbs. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open floodplain with fern beds, scattered conifers, and distant hills. Lighting: warm daylight with atmospheric distance. Color direction: slate gray, muted brown, moss green, pale sand, and sky blue. Mood: graceful, expansive, and stately. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-dilophosauridae,family,Dilophosauridae,1,Saurischia,,Dilophosaurus,basal_theropod_predator,"slender-theropod card: full-body dynamic stance, body and tail cleanly visible, head lifted alertly","slender bipedal predator, long tail, grasping forelimbs, narrow skull, fast-running build","open Triassic or Jurassic floodplain with low cycads, sparse conifers, and lightly layered hills",bright diffuse daylight,"earth brown, muted rust, sage green, pale stone, and dusty sky blue","active, ancestral, and cleanly readable",medium,needs_light_review,Low species count; choose a representative body plan carefully.,"Create a square illustrated dinosaur family card for Dilophosauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using slender-theropod card: full-body dynamic stance, body and tail cleanly visible, head lifted alertly. Emphasize the defining anatomy: slender bipedal predator, long tail, grasping forelimbs, narrow skull, fast-running build. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open Triassic or Jurassic floodplain with low cycads, sparse conifers, and lightly layered hills. Lighting: bright diffuse daylight. Color direction: earth brown, muted rust, sage green, pale stone, and dusty sky blue. Mood: active, ancestral, and cleanly readable. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-diplodocidae,family,Diplodocidae,16,Saurischia,,"Brontosaurus, Diplodocus, Apatosaurus",sauropod_whiptail,slender sauropod card: full-body side or 3/4 stance with long tail and neck sweeping elegantly through the frame,"long neck, elongated whip-like tail or slender tail, lighter sauropod torso, small head, columnar limbs","open floodplain with fern beds, scattered conifers, and distant hills",warm daylight with atmospheric distance,"slate gray, muted brown, moss green, pale sand, and sky blue","graceful, expansive, and stately",high,draft_ready,,"Create a square illustrated dinosaur family card for Diplodocidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using slender sauropod card: full-body side or 3/4 stance with long tail and neck sweeping elegantly through the frame. Emphasize the defining anatomy: long neck, elongated whip-like tail or slender tail, lighter sauropod torso, small head, columnar limbs. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open floodplain with fern beds, scattered conifers, and distant hills. Lighting: warm daylight with atmospheric distance. Color direction: slate gray, muted brown, moss green, pale sand, and sky blue. Mood: graceful, expansive, and stately. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-dromaeosauridae,family,Dromaeosauridae,61,Saurischia,,"Richardoestesia, Microraptor, Dromaeosaurus",dromaeosaur_predator,small-predator card: full-body dynamic pose with tail extended cleanly and raised sickle claw visible,"feathered body, agile build, raised sickle claw, stiff balancing tail, grasping forelimbs, alert predatory posture",light forest path or ferny woodland edge with open space around the silhouette,soft directional daylight through trees,"tawny brown, cream, charcoal, blue-black feather accents, and warm forest green","agile, intelligent, and vivid",high,draft_ready,,"Create a square illustrated dinosaur family card for Dromaeosauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using small-predator card: full-body dynamic pose with tail extended cleanly and raised sickle claw visible. Emphasize the defining anatomy: feathered body, agile build, raised sickle claw, stiff balancing tail, grasping forelimbs, alert predatory posture. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: light forest path or ferny woodland edge with open space around the silhouette. Lighting: soft directional daylight through trees. Color direction: tawny brown, cream, charcoal, blue-black feather accents, and warm forest green. Mood: agile, intelligent, and vivid. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-dryosauridae,family,Dryosauridae,6,Ornithischia,,"Dryosaurus, Callovosaurus, Dysalotosaurus",small_ornithopod,small runner-herbivore card: full-body side or 3/4 pose with clean tail and hind-limb silhouette,"small beaked herbivore, long hind limbs, balancing tail, light body, alert posture",open fern plain or woodland floor with low plants and clean horizon space,bright diffuse daylight,"olive, tan, warm gray, moss green, and pale sky blue","nimble, approachable, and clear",medium,draft_ready,,"Create a square illustrated dinosaur family card for Dryosauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using small runner-herbivore card: full-body side or 3/4 pose with clean tail and hind-limb silhouette. Emphasize the defining anatomy: small beaked herbivore, long hind limbs, balancing tail, light body, alert posture. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open fern plain or woodland floor with low plants and clean horizon space. Lighting: bright diffuse daylight. Color direction: olive, tan, warm gray, moss green, and pale sky blue. Mood: nimble, approachable, and clear. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-enantiornithidae,family,Enantiornithidae,1,Saurischia,Alexornithiformes,Gurilynia,early_bird_perching,"early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable","small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile",branchy woodland edge or lakeside grove with open sky windows around the wings,soft daylight with cool atmospheric depth,"cream, warm brown, charcoal, moss green, and pale teal sky","delicate, alert, and natural-history refined",medium,needs_light_review,Many of these lineages need a final anatomical check for wing and tail proportions. Low species count; choose a representative body plan carefully.,"Create a square illustrated dinosaur family card for Enantiornithidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable. Emphasize the defining anatomy: small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: branchy woodland edge or lakeside grove with open sky windows around the wings. Lighting: soft daylight with cool atmospheric depth. Color direction: cream, warm brown, charcoal, moss green, and pale teal sky. Mood: delicate, alert, and natural-history refined. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-eoenantiornithidae,family,Eoenantiornithidae,1,Saurischia,Eoenantiornithiformes,Dapingfangornis,early_bird_perching,"early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable","small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile",branchy woodland edge or lakeside grove with open sky windows around the wings,soft daylight with cool atmospheric depth,"cream, warm brown, charcoal, moss green, and pale teal sky","delicate, alert, and natural-history refined",medium,needs_light_review,Many of these lineages need a final anatomical check for wing and tail proportions. Low species count; choose a representative body plan carefully.,"Create a square illustrated dinosaur family card for Eoenantiornithidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable. Emphasize the defining anatomy: small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: branchy woodland edge or lakeside grove with open sky windows around the wings. Lighting: soft daylight with cool atmospheric depth. Color direction: cream, warm brown, charcoal, moss green, and pale teal sky. Mood: delicate, alert, and natural-history refined. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-euhelopodidae,family,Euhelopodidae,14,Saurischia,,"Daxiatitan, Erketu, Euhelopus",sauropod_high_browser,high-browser sauropod card: full-body composition with tall forequarters and neck reaching upward through the square frame,"long neck, small head, tall shoulders, columnar limbs, immense body mass, long tail",open woodland or river plain with tall trees and clear air around the neck silhouette,bright daylight with cool atmospheric depth,"stone gray, dusty olive, pale tan, bark brown, and soft blue-green sky","majestic, towering, and calm",high,draft_ready,,"Create a square illustrated dinosaur family card for Euhelopodidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using high-browser sauropod card: full-body composition with tall forequarters and neck reaching upward through the square frame. Emphasize the defining anatomy: long neck, small head, tall shoulders, columnar limbs, immense body mass, long tail. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open woodland or river plain with tall trees and clear air around the neck silhouette. Lighting: bright daylight with cool atmospheric depth. Color direction: stone gray, dusty olive, pale tan, bark brown, and soft blue-green sky. Mood: majestic, towering, and calm. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-fabrosauridae,family,Fabrosauridae,3,Ornithischia,,"Gongbusaurus, Xiaosaurus",small_ornithopod,small runner-herbivore card: full-body side or 3/4 pose with clean tail and hind-limb silhouette,"small beaked herbivore, long hind limbs, balancing tail, light body, alert posture",open fern plain or woodland floor with low plants and clean horizon space,bright diffuse daylight,"olive, tan, warm gray, moss green, and pale sky blue","nimble, approachable, and clear",medium,draft_ready,,"Create a square illustrated dinosaur family card for Fabrosauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using small runner-herbivore card: full-body side or 3/4 pose with clean tail and hind-limb silhouette. Emphasize the defining anatomy: small beaked herbivore, long hind limbs, balancing tail, light body, alert posture. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open fern plain or woodland floor with low plants and clean horizon space. Lighting: bright diffuse daylight. Color direction: olive, tan, warm gray, moss green, and pale sky blue. Mood: nimble, approachable, and clear. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-gallinuloididae,family,Gallinuloididae,4,Saurischia,Galliformes,"Paraortygoides, Gallinuloides",ground_bird,"ground-bird card: full-body 3/4 walking stance with body mass, legs, and plumage silhouette cleanly readable","ground-dwelling bird body, feathered wings, sturdy legs, compact tail, family-appropriate crest or facial features where suitable","open undergrowth, scrub, or woodland floor with simple layered plants",bright natural daylight,"earth brown, cream, muted chestnut, charcoal, and soft green","alert, terrestrial, and approachable",high,draft_ready,,"Create a square illustrated dinosaur family card for Gallinuloididae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using ground-bird card: full-body 3/4 walking stance with body mass, legs, and plumage silhouette cleanly readable. Emphasize the defining anatomy: ground-dwelling bird body, feathered wings, sturdy legs, compact tail, family-appropriate crest or facial features where suitable. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open undergrowth, scrub, or woodland floor with simple layered plants. Lighting: bright natural daylight. Color direction: earth brown, cream, muted chestnut, charcoal, and soft green. Mood: alert, terrestrial, and approachable. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-gargantuaviidae,family,Gargantuaviidae,1,Saurischia,,Gargantuavis,large_flightless_bird,large terrestrial bird card: full-body 3/4 stance with height and heavy bird silhouette emphasized,"large bird-like body, long legs, reduced flight capacity, powerful torso, strong neck, clear beak silhouette",open plain or woodland edge with simple vegetation and clear horizon,warm daylight,"brown, cream, gray, muted olive, and pale sky blue","rare, imposing, and unusual",low,needs_scientific_review,Very sparse family-level reference material; use this only as a first-pass concept prompt. Low species count; choose a representative body plan carefully.,"Create a square illustrated dinosaur family card for Gargantuaviidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using large terrestrial bird card: full-body 3/4 stance with height and heavy bird silhouette emphasized. Emphasize the defining anatomy: large bird-like body, long legs, reduced flight capacity, powerful torso, strong neck, clear beak silhouette. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open plain or woodland edge with simple vegetation and clear horizon. Lighting: warm daylight. Color direction: brown, cream, gray, muted olive, and pale sky blue. Mood: rare, imposing, and unusual. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-gspsauridae,family,Gspsauridae,3,Saurischia,,"Gspsaurus, Ikqaumishan, Saraikimasoom",sauropod_robust,robust sauropod card: full-body grounded stance with heavy torso and stable limb posture emphasized,"long neck, small head, broad deep torso, stout limbs, long tail, immense herbivorous build",open woodland or floodplain with low shrubs and broad sky,soft warm daylight,"weathered brown, taupe, olive, horn-gray, and muted sky blue","massive, dependable, and serene",medium,draft_ready,,"Create a square illustrated dinosaur family card for Gspsauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using robust sauropod card: full-body grounded stance with heavy torso and stable limb posture emphasized. Emphasize the defining anatomy: long neck, small head, broad deep torso, stout limbs, long tail, immense herbivorous build. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open woodland or floodplain with low shrubs and broad sky. Lighting: soft warm daylight. Color direction: weathered brown, taupe, olive, horn-gray, and muted sky blue. Mood: massive, dependable, and serene. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-guaibasauridae,family,Guaibasauridae,2,Saurischia,,"Agnosphitys, Guaibasaurus",basal_sauropodomorph,early-long-neck card: full-body side or 3/4 stance with lighter build and neck/tail balance clearly visible,"elongated neck, smaller head, long tail, lighter sauropodomorph body, strong hind limbs, early herbivorous build","Triassic or early Jurassic woodland edge with cycads, conifers, and open ground",clean daylight with slight warm haze,"dusty brown, olive, cream, bark gray, and pale green-blue sky","ancestral, steady, and elegant",medium,needs_light_review,Low species count; choose a representative body plan carefully.,"Create a square illustrated dinosaur family card for Guaibasauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using early-long-neck card: full-body side or 3/4 stance with lighter build and neck/tail balance clearly visible. Emphasize the defining anatomy: elongated neck, smaller head, long tail, lighter sauropodomorph body, strong hind limbs, early herbivorous build. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: Triassic or early Jurassic woodland edge with cycads, conifers, and open ground. Lighting: clean daylight with slight warm haze. Color direction: dusty brown, olive, cream, bark gray, and pale green-blue sky. Mood: ancestral, steady, and elegant. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-hadrosauridae,family,Hadrosauridae,80,Ornithischia,,"Gryposaurus, Lambeosaurus, Parasaurolophus",hadrosaur_duckbill,medium-herbivore card: full-body walking or alert standing pose with the duck-billed head and overall body shape immediately readable,"duck-billed skull, elongated herbivore body, strong hind limbs, balancing tail, family-appropriate crest when suitable",lush river margin or floodplain with layered greenery and calm water,soft morning daylight with gentle atmospheric fade,"moss green, tan, cream, muted olive, and cool water-blue accents","calm, stately, and natural-history focused",high,draft_ready,,"Create a square illustrated dinosaur family card for Hadrosauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using medium-herbivore card: full-body walking or alert standing pose with the duck-billed head and overall body shape immediately readable. Emphasize the defining anatomy: duck-billed skull, elongated herbivore body, strong hind limbs, balancing tail, family-appropriate crest when suitable. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: lush river margin or floodplain with layered greenery and calm water. Lighting: soft morning daylight with gentle atmospheric fade. Color direction: moss green, tan, cream, muted olive, and cool water-blue accents. Mood: calm, stately, and natural-history focused. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-herrerasauridae,family,Herrerasauridae,5,Saurischia,,"Chindesaurus, Gnathovorax, Herrerasaurus",basal_theropod_predator,"slender-theropod card: full-body dynamic stance, body and tail cleanly visible, head lifted alertly","slender bipedal predator, long tail, grasping forelimbs, narrow skull, fast-running build","open Triassic or Jurassic floodplain with low cycads, sparse conifers, and lightly layered hills",bright diffuse daylight,"earth brown, muted rust, sage green, pale stone, and dusty sky blue","active, ancestral, and cleanly readable",medium,draft_ready,,"Create a square illustrated dinosaur family card for Herrerasauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using slender-theropod card: full-body dynamic stance, body and tail cleanly visible, head lifted alertly. Emphasize the defining anatomy: slender bipedal predator, long tail, grasping forelimbs, narrow skull, fast-running build. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open Triassic or Jurassic floodplain with low cycads, sparse conifers, and lightly layered hills. Lighting: bright diffuse daylight. Color direction: earth brown, muted rust, sage green, pale stone, and dusty sky blue. Mood: active, ancestral, and cleanly readable. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-hesperornithidae,family,Hesperornithidae,14,Saurischia,Hesperornithiformes,"Hesperornis, Asiahesperornis, Canadaga",diving_bird,aquatic bird card: full-body shoreline or water-entry pose with body streamlined and feet readable,"diving bird body, streamlined torso, strong feet, reduced or specialized wings where appropriate, elongated neck or head profile",open lake or coastal margin with calm water and distant horizon,clear daylight with cool reflected light,"slate gray, cream, water blue, reed green, and muted brown","sleek, aquatic, and composed",high,draft_ready,,"Create a square illustrated dinosaur family card for Hesperornithidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using aquatic bird card: full-body shoreline or water-entry pose with body streamlined and feet readable. Emphasize the defining anatomy: diving bird body, streamlined torso, strong feet, reduced or specialized wings where appropriate, elongated neck or head profile. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open lake or coastal margin with calm water and distant horizon. Lighting: clear daylight with cool reflected light. Color direction: slate gray, cream, water blue, reed green, and muted brown. Mood: sleek, aquatic, and composed. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-heterodontosauridae,family,Heterodontosauridae,8,Ornithischia,,"Lycorhinus, Abrictosaurus, Echinodon",heterodontosaur_small,"small unusual herbivore card: full-body pose with compact body, beaked head, and facial silhouette emphasized","small beaked body, heterodont dentition cues, long hind limbs, long tail, nimble omnivorous-herbivorous build",dry scrub or fern plain with open space around the body,clear daylight,"olive, warm tan, cream, bark brown, and dusty green","quirky, early, and lively",medium,draft_ready,,"Create a square illustrated dinosaur family card for Heterodontosauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using small unusual herbivore card: full-body pose with compact body, beaked head, and facial silhouette emphasized. Emphasize the defining anatomy: small beaked body, heterodont dentition cues, long hind limbs, long tail, nimble omnivorous-herbivorous build. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: dry scrub or fern plain with open space around the body. Lighting: clear daylight. Color direction: olive, warm tan, cream, bark brown, and dusty green. Mood: quirky, early, and lively. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-hongshanornithidae,family,Hongshanornithidae,7,Saurischia,,"Archaeornithura, Hongshanornis, Longicrusavis",early_bird_perching,"early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable","small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile",branchy woodland edge or lakeside grove with open sky windows around the wings,soft daylight with cool atmospheric depth,"cream, warm brown, charcoal, moss green, and pale teal sky","delicate, alert, and natural-history refined",medium,draft_ready,Many of these lineages need a final anatomical check for wing and tail proportions.,"Create a square illustrated dinosaur family card for Hongshanornithidae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using early-bird card: full-body perched or lightly grounded pose with wings, tail, and head profile clearly readable. Emphasize the defining anatomy: small avialan body, feathered wings, bird-like feet, long or moderate tail, early-bird skull profile. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: branchy woodland edge or lakeside grove with open sky windows around the wings. Lighting: soft daylight with cool atmospheric depth. Color direction: cream, warm brown, charcoal, moss green, and pale teal sky. Mood: delicate, alert, and natural-history refined. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
family-huayangosauridae,family,Huayangosauridae,1,Ornithischia,,Huayangosaurus,stegosaur_plated,plated herbivore card: full-body side or 3/4 stance with dorsal plates and tail spikes clearly separated from the background,"arched back, large dorsal plates, spiked tail, small head, sturdy hindquarters, quadrupedal herbivore build",open woodland or fern plain with low vegetation and soft distant trees,warm daylight with clean shadow shapes,"ochre, olive, bark brown, pale horn, and moss green","distinctive, stately, and recognizable",high,needs_light_review,Low species count; choose a representative body plan carefully.,"Create a square illustrated dinosaur family card for Huayangosauridae, a family from the Dinosaur Atlas project. Show one featured adult animal as the clear focal subject using plated herbivore card: full-body side or 3/4 stance with dorsal plates and tail spikes clearly separated from the background. Emphasize the defining anatomy: arched back, large dorsal plates, spiked tail, small head, sturdy hindquarters, quadrupedal herbivore build. The animal must read instantly at thumbnail size. Visual style: premium natural-history illustration card, crisp black linework, soft cel-shaded color, subtle grain texture, muted realistic palette, museum-compendium aesthetic, simplified but believable prehistoric habitat, polished digital illustration rather than photoreal painting. Environment: open woodland or fern plain with low vegetation and soft distant trees. Lighting: warm daylight with clean shadow shapes. Color direction: ochre, olive, bark brown, pale horn, and moss green. Mood: distinctive, stately, and recognizable. Layout constraints: square composition, rounded card border area, reserved blank title band at the bottom for later typography, optional reserved badge space in the lower-right corner, no rendered text, no logo, no watermark."
